NAME,NUM_VOTES,VOTE_WEIGHT
Wyoming,3,5.200649734506831e-06
Vermont,3,4.665071212312056e-06
District of Columbia,3,4.350695023530009e-06
Alaska,3,4.090587421989089e-06
North Dakota,3,3.8506264969310506e-06
Montana,4,3.6892711383707257e-06
Rhode Island,4,3.6450487935344123e-06
South Dakota,3,3.3834573746400846e-06
Delaware,3,3.0304622060956736e-06
Maine,4,2.93608366076783e-06
New Hampshire,4,2.9037501206871143e-06
Hawaii,4,2.7486289495221163e-06
Nebraska,5,2.5490643914057783e-06
New Mexico,5,2.361250556074506e-06
West Virginia,4,2.2300074259247283e-06
Idaho,4,2.1749697951069703e-06
Kansas,6,2.0422889975084075e-06
Mississippi,6,2.026151537899671e-06
Arkansas,6,1.9923467320864783e-06
Connecticut,7,1.941239242761396e-06
Nevada,6,1.9326074030459183e-06
Oregon,8,1.888014318700593e-06
Iowa,6,1.8806601994941651e-06
Utah,6,1.8339560633032728e-06
Alabama,9,1.7913017967354123e-06
Kentucky,8,1.775475183739488e-06
Oklahoma,7,1.7679656246866596e-06
South Carolina,9,1.7583533997274552e-06
Minnesota,10,1.7523894706627223e-06
Colorado,10,1.7319874174578098e-06
Louisiana,8,1.7175649137556982e-06
Wisconsin,10,1.696721831618004e-06
Missouri,10,1.624718334767689e-06
Indiana,11,1.6210971349613473e-06
Maryland,10,1.6188501501645398e-06
Tennessee,11,1.5917023111517559e-06
Massachusetts,11,1.5647410915377807e-06
Washington,12,1.5573734429672326e-06
Arizona,11,1.5381384218308265e-06
North Carolina,16,1.5326568952126313e-06
New Jersey,14,1.5071599787877998e-06
Virginia,13,1.5061300070567984e-06
Georgia,16,1.4936648074273977e-06
Michigan,15,1.4884893629076985e-06
Illinois,19,1.4829259033438262e-06
Pennsylvania,19,1.4612349742745737e-06
Ohio,17,1.4407453636814197e-06
Florida,30,1.3928748970375269e-06
New York,28,1.3860529118768844e-06
Texas,40,1.372424324093887e-06
California,54,1.365766994637063e-06